,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,TouchScreen,IPS,ppi,Speed,HDD,SSD
1227,Dell,Notebook,Intel Core i5,4,Intel HD,Linux,2.18,0,0,100.45466986113651,2.5,1000,0
1228,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,2.6,1,1,141.21199808219862,2.6,1000,128
1229,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows,2.2,0,0,141.21199808219862,2.8,1000,128
1230,Lenovo,Netbook,Intel Core i7,16,Intel HD,Windows,1.3,1,1,176.23257360658386,2.5,0,512
1231,Razer,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,1.95,0,0,157.3505121487356,2.8,0,1000
1232,Dell,Notebook,Intel Core i3,8,Intel HD,Windows,2.3,1,0,100.45466986113651,2.4,1000,0
1233,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,2.7,0,0,127.33567457123111,2.8,1000,256
1234,Apple,Ultrabook,Intel Core i5,4,Intel HD,Mac OS,1.08,0,0,135.0942111925629,1.6,0,0
1235,HP,Notebook,Intel Core i3,4,Intel HD,Windows,2.1,0,0,141.21199808219862,2.0,1000,0
1236,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows,1.54,0,0,209.8006828649808,2.5,0,256
1237,Dell,Notebook,Intel Core i5,4,Intel HD,Windows,2.24,0,0,100.45466986113651,2.3,500,0
1238,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows,2.3,0,0,141.21199808219862,2.6,1000,128
1239,Lenovo,Notebook,Intel Core i7,16,Intel HD,Windows,1.4,0,1,165.6321180513006,2.7,0,512
1240,Lenovo,Notebook,AMD Processor,6,AMD Radeon,Windows,2.2,0,0,141.21199808219862,3.6,0,256
1241,Asus,Ultrabook,Intel Core i7,8,Intel HD,Windows,1.45,0,0,165.6321180513006,2.5,0,256
1242,Acer,Notebook,Intel Core i3,4,Intel HD,Linux,2.4,0,0,100.45466986113651,2.0,500,0
1243,Dell,2 in 1 Convertible,Intel Core i7,16,Nvidia GeForce,Windows,2.77,1,0,127.33567457123111,2.7,0,512
1244,HP,Notebook,Intel Core i5,4,Intel HD,Windows,1.54,0,0,157.3505121487356,2.3,0,256
1245,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,2.5,0,1,141.21199808219862,2.8,1000,256
1246,Dell,Notebook,Intel Core i5,4,Intel HD,Windows,1.6,0,0,111.93520355955211,2.5,500,0
1247,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,2.34,0,1,141.21199808219862,2.6,1000,256
1248,Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.3,0,1,141.21199808219862,2.5,0,256
1249,Dell,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows,1.24,1,0,276.053530085501,1.2,0,256
1250,Dell,Notebook,Other Intel Processor,4,Intel HD,Linux,2.2,0,0,100.45466986113651,1.6,500,0
1251,HP,Notebook,AMD Processor,4,AMD Radeon,Windows,1.86,0,0,100.45466986113651,2.5,500,0
1252,Lenovo,Notebook,Intel Core i3,6,Nvidia GeForce,Windows,2.4,0,0,141.21199808219862,2.3,0,128
1253,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows,1.9,0,1,157.3505121487356,2.3,0,256
1254,Dell,Notebook,Other Intel Processor,4,Intel HD,Windows,2.2,0,0,100.45466986113651,1.6,500,0
1255,Asus,Notebook,Intel Celeron Dual,4,Intel HD,Windows,2.0,0,0,100.45466986113651,1.1,1000,0
1256,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,4.0,0,1,127.33567457123111,2.6,1000,128
1257,Dell,Notebook,Intel Core i3,4,Intel HD,Windows,2.29,0,0,100.45466986113651,2.0,500,0
1258,Lenovo,Notebook,Intel Core i7,8,AMD Radeon,Windows,2.32,0,0,141.21199808219862,2.5,0,0
1259,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows,2.4,0,0,141.21199808219862,2.6,1000,128
1260,Lenovo,2 in 1 Convertible,Intel Core i5,4,Intel HD,Windows,1.8,1,0,157.3505121487356,2.3,0,128
1261,Asus,Ultrabook,Other Intel Processor,8,Intel HD,Windows,1.2,0,1,165.6321180513006,0.9,0,512
1262,Dell,Notebook,Intel Core i3,6,Intel HD,Windows,2.3,0,0,100.45466986113651,2.4,1000,0
1263,Acer,Notebook,Intel Celeron Dual,4,Intel HD,Linux,2.4,0,0,100.45466986113651,1.6,500,0
1264,Dell,Notebook,Intel Celeron Dual,2,Intel HD,Windows,2.2,0,0,100.45466986113651,1.6,500,0
1265,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,Windows,2.6,0,1,141.21199808219862,2.6,1000,0
1266,HP,Notebook,AMD Processor,6,AMD Radeon,Windows,2.04,0,0,141.21199808219862,2.9,0,0
1267,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.3,0,0,100.45466986113651,2.7,1000,0
1268,HP,Netbook,Intel Celeron Dual,2,Intel HD,Windows,1.17,0,0,135.0942111925629,1.6,0,0
1269,Asus,Notebook,Intel Core i7,4,Nvidia GeForce,Windows,2.2,0,0,100.45466986113651,2.5,500,0
1270,Lenovo,2 in 1 Convertible,Intel Core i7,4,Intel HD,Windows,1.8,1,1,157.3505121487356,2.5,0,128
1271,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows,1.3,1,1,276.053530085501,2.5,0,512
1272,Lenovo,Notebook,Intel Celeron Dual,2,Intel HD,Windows,1.5,0,0,111.93520355955211,1.6,0,0
1273,HP,Notebook,Intel Core i7,6,AMD Radeon,Windows,2.19,0,0,100.45466986113651,2.5,1000,0
1274,Asus,Notebook,Intel Celeron Dual,4,Intel HD,Windows,2.2,0,0,100.45466986113651,1.6,500,0
1275,Asus,Ultrabook,Other Intel Processor,8,Intel HD,Windows,1.2,0,1,165.6321180513006,0.9,0,512
1276,Dell,Notebook,Intel Core i3,6,Intel HD,Windows,2.3,0,0,100.45466986113651,2.4,1000,0
1277,Acer,Notebook,Intel Celeron Dual,4,Intel HD,Linux,2.4,0,0,100.45466986113651,1.6,500,0
